instrument,symbol,expiry,expiry_dt_final,strike,option_type,open,high,low,close,settle_pr,volume,val_inlakh,open_int,chg_in_oi,timestamp
FUTSTK,TRENT,24-Feb-2026,2026-02-24,,,4356.5,4357.0,4285.0,4292.0,4292.0,145,625.5692,36000,8200,2025-12-01
FUTSTK,TRENT,27-Jan-2026,2026-01-27,,,4317.2,4335.9,4260.0,4271.1,4271.1,611,2621.5813,400900,14600,2025-12-01
FUTSTK,TRENT,30-Dec-2025,2025-12-30,,,4295.2,4312.0,4230.0,4244.1,4244.1,4877,20803.7638,8001800,57900,2025-12-01
FUTSTK,UNIONBANK,27-Jan-2026,2026-01-27,,,156.07,157.4,154.7,155.54,155.54,191,1317.74685,2756775,119475,2025-12-01
FUTSTK,UNIONBANK,30-Dec-2025,2025-12-30,,,154.95,156.87,154.08,155.1,155.1,2989,20551.1819,87725625,-66375,2025-12-01
FUTSTK,UNIONBANK,24-Feb-2026,2026-02-24,,,157.0,157.7,155.66,156.49,156.49,15,104.17689,75225,22125,2025-12-01
FUTSTK,YESBANK,30-Dec-2025,2025-12-30,,,23.17,23.23,22.46,22.54,22.54,4256,30106.0004,1034075000,4291800,2025-12-01
FUTSTK,YESBANK,24-Feb-2026,2026-02-24,,,23.45,23.45,22.77,22.85,22.85,108,773.30461,3825300,2052600,2025-12-01
FUTSTK,YESBANK,27-Jan-2026,2026-01-27,,,23.06,23.37,22.61,22.69,22.69,525,3738.47813,65216700,6313300,2025-12-01
FUTSTK,ABB,30-Dec-2025,2025-12-30,,,5220.5,5220.5,5169.5,5205.0,5205.0,1678,10899.1287,2754250,-23750,2025-12-01
FUTSTK,ABB,24-Feb-2026,2026-02-24,,,5225.0,5237.0,5220.0,5228.0,5259.5,15,97.989375,9500,1625,2025-12-01
FUTSTK,ABB,27-Jan-2026,2026-01-27,,,5219.0,5224.0,5191.5,5220.5,5220.5,87,566.313125,73125,3125,2025-12-01
FUTSTK,BDL,27-Jan-2026,2026-01-27,,,1545.0,1553.7,1530.0,1544.1,1544.1,149,805.1323,161700,8400,2025-12-01
FUTSTK,BDL,24-Feb-2026,2026-02-24,,,1549.5,1559.1,1538.0,1550.0,1550.0,33,178.81185,12250,7700,2025-12-01
FUTSTK,BDL,30-Dec-2025,2025-12-30,,,1523.0,1546.3,1519.7,1534.5,1534.5,2567,12796.8974,4585750,650,2025-12-01
FUTSTK,BEL,30-Dec-2025,2025-12-30,,,417.0,420.5,414.8,418.4,418.4,8292,49381.5638,104247300,-363375,2025-12-01
FUTSTK,BEL,24-Feb-2026,2026-02-24,,,421.85,424.95,420.2,423.25,423.25,167,1006.19392,245100,55575,2025-12-01
FUTSTK,BEL,27-Jan-2026,2026-01-27,,,418.5,422.95,417.65,421.05,421.05,639,3825.18806,4076925,200925,2025-12-01
FUTSTK,BHEL,30-Dec-2025,2025-12-30,,,293.0,296.6,291.25,292.35,292.35,4987,38459.6625,57589875,664125,2025-12-01
FUTSTK,BHEL,27-Jan-2026,2026-01-27,,,294.6,298.25,293.1,294.35,294.35,241,1870.60781,1304625,123375,2025-12-01
FUTSTK,BHEL,24-Feb-2026,2026-02-24,,,296.7,298.85,295.45,295.6,294.9,23,179.552625,105000,23625,2025-12-01
FUTSTK,CGPOWER,30-Dec-2025,2025-12-30,,,676.35,681.4,672.45,674.05,674.05,1348,7749.70797,16699100,137700,2025-12-01
FUTSTK,CGPOWER,24-Feb-2026,2026-02-24,,,687.7,687.7,682.0,682.0,682.0,8,46.5783,22950,1700,2025-12-01
FUTSTK,CGPOWER,27-Jan-2026,2026-01-27,,,683.85,685.15,677.2,678.05,678.05,70,405.298275,487900,12750,2025-12-01
FUTSTK,GMRAIRPORT,30-Dec-2025,2025-12-30,,,109.47,110.05,107.41,108.1,108.1,4427,33566.7536,157914000,-7351650,2025-12-01
FUTSTK,GMRAIRPORT,24-Feb-2026,2026-02-24,,,110.4,110.8,109.0,109.1,109.1,17,130.364145,320850,27900,2025-12-01
FUTSTK,GMRAIRPORT,27-Jan-2026,2026-01-27,,,109.82,110.64,108.31,108.86,108.86,178,1359.73161,2727225,383625,2025-12-01
FUTSTK,HAL,30-Dec-2025,2025-12-30,,,4578.0,4613.6,4530.1,4552.2,4552.2,6843,46809.8938,8707200,141150,2025-12-01
FUTSTK,HAL,27-Jan-2026,2026-01-27,,,4614.3,4641.1,4558.0,4581.0,4581.0,695,4780.5441,469650,31950,2025-12-01
FUTSTK,HAL,24-Feb-2026,2026-02-24,,,4620.0,4653.9,4570.0,4591.2,4591.2,175,1211.13165,42450,14400,2025-12-01
FUTSTK,HCLTECH,24-Feb-2026,2026-02-24,,,1650.0,1658.4,1650.0,1656.8,1656.8,44,254.82975,21000,6650,2025-12-01
FUTSTK,HCLTECH,27-Jan-2026,2026-01-27,,,1641.9,1650.7,1638.0,1647.4,1647.4,289,1662.69495,453600,32200,2025-12-01
FUTSTK,HCLTECH,30-Dec-2025,2025-12-30,,,1641.4,1652.0,1638.1,1648.8,1648.8,5836,33611.3144,17837400,-44450,2025-12-01
FUTSTK,JUBLFOOD,27-Jan-2026,2026-01-27,,,609.8,616.4,608.4,615.4,615.4,47,360.06875,486250,-3750,2025-12-01
FUTSTK,JUBLFOOD,30-Dec-2025,2025-12-30,,,602.3,612.9,602.3,611.5,611.5,1767,13450.9381,17727500,-166250,2025-12-01
FUTSTK,JUBLFOOD,24-Feb-2026,2026-02-24,,,616.5,618.5,616.3,618.0,618.0,4,30.86,21250,2500,2025-12-01
